case_id,category,score,recommendation,candidate_recommendation,candidate_blocking_risks,score_in_range,recommendation_consistent,completeness,confidence,not_provided,unknown,duration_ms
I02,INCOMPLETE_JOB,91.0,STRONGLY_RECOMMENDED,CONSIDER,,True,False,0.1,0.1,9,0,1.0894
I03,INCOMPLETE_JOB,97.0,STRONGLY_RECOMMENDED,CONSIDER,,True,False,0.1,0.1,9,0,2.021
E01,INSUFFICIENT_EVIDENCE,67.5,CONSIDER,CONSIDER,,True,True,0.7,0.7,3,0,1.6397
E02,INSUFFICIENT_EVIDENCE,98.5,STRONGLY_RECOMMENDED,RECOMMENDED,,True,True,0.7,0.7,3,0,2.489
N01,BLOCKING,95.0,STRONGLY_RECOMMENDED,NOT_RECOMMENDED,CERTIFICATE_REQUIREMENT_NOT_MET,True,False,0.8,0.775,2,1,1.4663
N02,MEDIUM_MATCH,95.0,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,0.8,0.775,2,1,1.4017
N03,BLOCKING,88.0,HIGH_RISK,NOT_RECOMMENDED,CERTIFICATE_REQUIREMENT_NOT_MET,True,False,0.8,0.8,2,0,2.1376
N04,BLOCKING,93.0,HIGH_RISK,NOT_RECOMMENDED,LANGUAGE_REQUIREMENT_NOT_MET,True,False,0.7,0.7,3,0,1.3681
N05,MEDIUM_MATCH,93.0,HIGH_RISK,RECOMMENDED,,True,False,0.7,0.7,3,0,1.3656
N06,MEDIUM_MATCH,96.5,STRONGLY_RECOMMENDED,RECOMMENDED,,True,False,0.7,0.7,3,0,1.9119
N07,MEDIUM_MATCH,95.5,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.3417
N08,BLOCKING,94.25,HIGH_RISK,NOT_RECOMMENDED,MINIMUM_EXPERIENCE_NOT_MET,True,False,0.7,0.7,3,0,1.3422
N09,HIGH_MATCH,98.0,STRONGLY_RECOMMENDED,RECOMMENDED,,True,False,0.7,0.7,3,0,1.5717
N10,MEDIUM_MATCH,92.75,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.9216
N11,BLOCKING,92.75,HIGH_RISK,NOT_RECOMMENDED,EDUCATION_REQUIREMENT_NOT_MET,True,False,0.7,0.7,3,0,1.4773
N12,INSUFFICIENT_EVIDENCE,97.0,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,0.8,0.775,2,1,2.5208
N13,BLOCKING,94.67,NOT_RECOMMENDED,NOT_RECOMMENDED,WORK_ELIGIBILITY_BLOCKED,True,True,0.8,0.8,2,0,1.3382
N14,BLOCKING,88.0,HIGH_RISK,NOT_RECOMMENDED,CERTIFICATE_REQUIREMENT_NOT_MET,True,False,0.8,0.8,2,0,2.1228
N15,BLOCKING,93.0,HIGH_RISK,NOT_RECOMMENDED,LANGUAGE_REQUIREMENT_NOT_MET,True,False,0.7,0.7,3,0,1.446
N16,INCOMPLETE_JOB,100.0,STRONGLY_RECOMMENDED,CONSIDER,,True,False,0.0,0.0,10,0,1.2367
N17,SKILL_GAP,28.08,HIGH_RISK,NOT_RECOMMENDED,"MINIMUM_EXPERIENCE_NOT_MET,EDUCATION_REQUIREMENT_NOT_MET,CERTIFICATE_REQUIREMENT_NOT_MET",True,False,0.9,0.85,1,2,2.459
N18,HIGH_MATCH,97.0,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,1.0,1.0,0,0,2.3028
N19,INCOMPLETE_JOB,97.0,STRONGLY_RECOMMENDED,CONSIDER,,True,False,0.125,0.125,8,0,1.2556
N20,BLOCKING,95.5,HIGH_RISK,NOT_RECOMMENDED,LANGUAGE_REQUIREMENT_NOT_MET,True,False,0.7,0.7,3,0,2.5835
